type,etablissement,norme,operationnel,detenus,date,densite,dir_interregionale
qCD,Sud Francilien,535,535,498,2019-03-01,93.0841121495327,Paris
MC,Poissy,279,240,195,2019-03-01,81.25,Paris
qMC,Sud Francilien,28,28,21,2019-03-01,75,Paris
qCPA,Fresnes (Villejuif),116,116,118,2019-03-01,101.72413793103448,Paris
qCPA,Meaux-Chauconin,62,62,37,2019-03-01,59.67741935483871,Paris
CSL,Corbeil,80,80,95,2019-03-01,118.75,Paris
CSL,Gagny,48,48,82,2019-03-01,170.83333333333331,Paris
CSL,Melun,43,43,44,2019-03-01,102.32558139534885,Paris
qCSL,Bois d'Arcy,61,61,50,2019-03-01,81.9672131147541,Paris
qCSL,Fresnes (Villejuif),27,27,25,2019-03-01,92.5925925925926,Paris
qCSL,Paris-La-Santé,100,100,121,2019-03-01,121,Paris
EPM,Porcheville,60,60,51,2019-03-01,85,Paris
qCNE,Fresnes (**),56,56,34,2019-03-01,60.71428571428571,Paris
qCNE,Sud Francilien,233,233,148,2019-03-01,63.519313304721024,Paris
MA,Angers,266,266,380,2019-03-01,142.85714285714286,Rennes
MA,Brest,254,254,387,2019-03-01,152.36220472440945,Rennes
MA,Caen,269,269,442,2019-03-01,164.31226765799255,Rennes
MA,Cherbourg,46,46,55,2019-03-01,119.56521739130434,Rennes
MA,Coutances,48,48,60,2019-03-01,125,Rennes
MA,Evreux,162,162,244,2019-03-01,150.6172839506173,Rennes
MA,Fontenay-le-Comte,39,39,77,2019-03-01,197.43589743589746,Rennes
MA,La Roche-sur-Yon,39,39,79,2019-03-01,202.56410256410254,Rennes
MA,Laval,71,56,104,2019-03-01,185.71428571428572,Rennes
MA,Le Mans-Croisettes,399,399,527,2019-03-01,132.08020050125313,Rennes
MA,Rouen,649,649,566,2019-03-01,87.211093990755,Rennes
MA,Saint Malo,92,92,116,2019-03-01,126.08695652173914,Rennes
MA,Saint-Brieuc,85,85,177,2019-03-01,208.23529411764707,Rennes
MA,Vannes,52,52,88,2019-03-01,169.23076923076923,Rennes
qMA,Caen,6,6,5,2019-03-01,83.33333333333334,Rennes
qMA,Le Havre,298,297,297,2019-03-01,100,Rennes
qMA,Lorient-Ploemeur,187,187,282,2019-03-01,150.80213903743316,Rennes
qMA,Nantes,570,570,734,2019-03-01,128.7719298245614,Rennes
qMA,Rennes,57,57,62,2019-03-01,108.77192982456141,Rennes
qMA,Rennes-Vezin,477,477,639,2019-03-01,133.96226415094338,Rennes
CD,Argentan,638,638,544,2019-03-01,85.26645768025078,Rennes
CD,Val-de-Reuil,819,780,737,2019-03-01,94.48717948717949,Rennes
qCD,Caen,434,425,373,2019-03-01,87.76470588235294,Rennes
qCD,Le Havre,392,391,370,2019-03-01,94.62915601023018,Rennes
qCD,Lorient-Ploemeur,40,40,36,2019-03-01,90,Rennes
qCD,Nantes,510,510,455,2019-03-01,89.2156862745098,Rennes
qCD,Rennes,231,231,167,2019-03-01,72.2943722943723,Rennes
qCD,Rennes-Vezin,209,209,197,2019-03-01,94.25837320574163,Rennes
qMC,Alençon-Condé-sur-Sarthe,195,195,112,2019-03-01,57.43589743589743,Rennes
qCPA,Alençon-Condé-sur-Sarthe,45,45,10,2019-03-01,22.22222222222222,Rennes
qCSL,Caen,50,50,14,2019-03-01,28.000000000000004,Rennes
qCSL,Nantes,36,36,16,2019-03-01,44.44444444444444,Rennes
qCSL,Rennes-Vezin,26,26,22,2019-03-01,84.61538461538461,Rennes
EPM,Orvault,59,55,42,2019-03-01,76.36363636363637,Rennes
MA,Bar-le-Duc,80,80,88,2019-03-01,110.00000000000001,Strasbourg
MA,Châlons-en-Champagne,313,313,316,2019-03-01,100.95846645367412,Strasbourg
MA,Charleville-Mézières,59,59,65,2019-03-01,110.16949152542372,Strasbourg
MA,Chaumont,78,78,92,2019-03-01,117.94871794871796,Strasbourg
MA,Colmar,120,120,145,2019-03-01,120.83333333333333,Strasbourg
MA,Epinal,294,294,234,2019-03-01,79.59183673469387,Strasbourg
MA,Mulhouse,277,277,472,2019-03-01,170.3971119133574,Strasbourg
MA,Reims,154,154,173,2019-03-01,112.33766233766234,Strasbourg
MA,Sarreguemines,71,71,110,2019-03-01,154.92957746478874,Strasbourg
MA,Strasbourg,445,445,649,2019-03-01,145.84269662921346,Strasbourg
MA,Troyes,114,114,128,2019-03-01,112.28070175438596,Strasbourg
qMA,Metz-Queuleu,403,403,575,2019-03-01,142.67990074441687,Strasbourg
qMA,Nancy Maxéville,453,453,620,2019-03-01,136.86534216335542,Strasbourg
CD,Ecrouves,269,269,246,2019-03-01,91.44981412639405,Strasbourg
CD,Montmédy,343,280,272,2019-03-01,97.14285714285714,Strasbourg
CD,Oermingen,268,263,223,2019-03-01,84.79087452471484,Strasbourg
